"filter_id","filter","family","cutoff","raw_n_panel_b","n_negative","max_coef","min_p","best_coef","best_spec"
"exqltm_le0","ex_quarter_ltm <= 0","upper_bound","0",12,6,-0.313533792815639,0.550928085752987,-1.04169494129265,"msetwo_fe"
"exqltm_1_2","1 <= ex_quarter_ltm <= 2","range","1-2",285,6,-0.102387416777279,0.107131761161505,-0.3503084682844,"msetwo_no_fe"
"exqltm_le2","ex_quarter_ltm <= 2","upper_bound","2",297,6,-0.0954648355614312,0.0702208624885684,-0.137721039046994,"msetwo_fe"
"exqltm_le1","ex_quarter_ltm <= 1","upper_bound","1",164,6,-0.0759968285828451,0.200169572599463,-0.158412657038136,"msetwo_fe"
"exqltm_1_3","1 <= ex_quarter_ltm <= 3","range","1-3",399,6,-0.0654080337165702,0.171255992418553,-0.37633317455059,"msetwo_no_fe"
"exqltm_le3","ex_quarter_ltm <= 3","upper_bound","3",411,6,-0.0610607375778914,0.165781798272621,-0.382338130112705,"msetwo_no_fe"
"exqltm_1_5","1 <= ex_quarter_ltm <= 5","range","1-5",538,6,-0.0398821098974913,0.17167012449221,-0.307376079486751,"msetwo_no_fe"
"exqltm_le5","ex_quarter_ltm <= 5","upper_bound","5",550,6,-0.0377740545175878,0.165767968739171,-0.307698808001287,"msetwo_no_fe"
"exqltm_le15","ex_quarter_ltm <= 15","upper_bound","15",781,6,-0.0144513478217885,0.295208215831441,-0.159900449816272,"msetwo_no_fe"
"exqltm_1_10","1 <= ex_quarter_ltm <= 10","range","1-10",682,6,-0.0137347455293314,0.395095221131052,-0.177825563826813,"msetwo_no_fe"
"exqltm_le10","ex_quarter_ltm <= 10","upper_bound","10",694,6,-0.0125088665732954,0.387610353004515,-0.180061982814812,"msetwo_no_fe"
"exqltm_le20","ex_quarter_ltm <= 20","upper_bound","20",847,6,-0.00181272800199825,0.39049396350136,-0.123781281010035,"msetwo_no_fe"
"exqltm_2_3","2 <= ex_quarter_ltm <= 3","range","2-3",247,4,0.00299749529516339,0.94909047256499,-0.0127931919229415,"msetwo_fe"
"baseline_verified","host_identity_verified=t only","baseline",NA,1059,2,0.0132367535905647,0.164265733047122,-0.0737243438595218,"msetwo_no_fe"
"exqltm_ge0","ex_quarter_ltm >= 0","lower_bound","0",1059,2,0.0132367535905647,0.164265733047122,-0.0737243438595218,"msetwo_no_fe"
"exqltm_ge1","ex_quarter_ltm >= 1","lower_bound","1",1047,2,0.0134832586134768,0.168093815581727,-0.0730465517146233,"msetwo_no_fe"
"exqltm_2_5","2 <= ex_quarter_ltm <= 5","range","2-5",386,2,0.0162282208581979,0.658542313850913,-0.192206036401622,"msetwo_no_fe"
"exqltm_ge10","ex_quarter_ltm >= 10","lower_bound","10",385,2,0.0442500904913819,0.283948509130081,0.0442500904913819,"h030_015_fe"
"exqltm_ge15","ex_quarter_ltm >= 15","lower_bound","15",290,1,0.0181703792394466,0.666694757667784,0.0172448819140165,"h030_015_fe"
"exqltm_ge20","ex_quarter_ltm >= 20","lower_bound","20",225,1,0.0367186445690311,0.492925881270293,0.0367186445690311,"h020_010_fe"
"exqltm_le30","ex_quarter_ltm <= 30","upper_bound","30",931,1,0.0382090548901882,0.489660135352061,0.0314612596692332,"h030_015_fe"
"exqltm_le50","ex_quarter_ltm <= 50","upper_bound","50",1034,1,0.0410053742551783,0.43473135480579,0.0298339959750626,"twomse_fe"
"exqltm_ge3","ex_quarter_ltm >= 3","lower_bound","3",762,1,0.0486165124768653,0.213986303165938,0.0482794146184967,"h030_015_fe"
"exqltm_ge5","ex_quarter_ltm >= 5","lower_bound","5",557,1,0.048838584629367,0.189656007206074,0.048838584629367,"h030_015_fe"
"exqltm_ge2","ex_quarter_ltm >= 2","lower_bound","2",895,1,0.04979541000356,0.226726681894392,0.0494393239320785,"h030_015_fe"
"exqltm_3_20","3 <= ex_quarter_ltm <= 20","range","3-20",550,1,0.080345320449725,0.404074554692794,0.0643099830684574,"h030_015_fe"
"exqltm_2_20","2 <= ex_quarter_ltm <= 20","range","2-20",683,1,0.0958242600474252,0.392417449704397,0.0668221597502649,"h030_015_fe"
"exqltm_2_10","2 <= ex_quarter_ltm <= 10","range","2-10",530,0,0.0962787022066389,0.586688986169833,0.0576095335135444,"h030_015_fe"
"exqltm_5_20","5 <= ex_quarter_ltm <= 20","range","5-20",345,0,0.104379116712775,0.42625592906513,0.104379116712775,"h030_015_fe"
"exqltm_5_30","5 <= ex_quarter_ltm <= 30","range","5-30",429,0,0.134911069465882,0.0952315343302901,0.134911069465882,"twomse_fe"
"exqltm_10_30","10 <= ex_quarter_ltm <= 30","range","10-30",257,0,0.184880735747459,0.0340797039087367,0.157693215939634,"twomse_fe"
