"filter_id","filter","family","raw_n_panel_b","spec","coef_conv","se_conv","pv_conv","coef_bc","se_robust","pv_robust","h_left","h_right","obs_h","error"
"baseline_verified","host_identity_verified=t only","baseline",1059,"msetwo_no_fe",-0.0737243438595218,0.0530060307074272,0.164265733047122,-0.0963297979794883,0.0607355846616782,0.112727504946459,0.176895860176605,0.0745843738687563,407,""
"drop_any_calendar_full","drop availability_90=90 or availability_365=365","calendar_fully_open",904,"msetwo_no_fe",-0.0702921340326927,0.0590350832712976,0.233777628525802,-0.0982251578508432,0.0668923544630152,0.141993878599907,0.16606299035896,0.0823585868881996,344,""
"drop_any_zero_demand","drop any zero demand proxy","zero_recent_demand",1014,"msetwo_no_fe",-0.0779203059167946,0.0528841141027566,0.140638867752769,-0.100913567690849,0.0607869769204506,0.0968906729986557,0.180053632987077,0.0756510805421173,409,""
"drop_av365full","drop availability_365=365","calendar_fully_open",981,"msetwo_no_fe",-0.0786766234046019,0.0551808221510398,0.153927089858072,-0.100642192129448,0.0635011964457705,0.112992113054976,0.169771045289975,0.0745913224647631,378,""
"drop_av90full","drop availability_90=90","calendar_fully_open",904,"msetwo_no_fe",-0.0702921340326927,0.0590350832712976,0.233777628525802,-0.0982251578508432,0.0668923544630152,0.141993878599907,0.16606299035896,0.0823585868881996,344,""
"drop_ex_ltm0_av365full","drop ex_quarter_ltm=0 & availability_365=365","zero_demand_calendar_fully_open",1059,"msetwo_no_fe",-0.0737243438595218,0.0530060307074272,0.164265733047122,-0.0963297979794883,0.0607355846616782,0.112727504946459,0.176895860176605,0.0745843738687563,407,""
"drop_ex_ltm0_av365pos","drop ex_quarter_ltm=0 & availability_365>0","zero_demand_calendar_open",1047,"msetwo_no_fe",-0.0730465517146233,0.0529954691513573,0.168093815581727,-0.0956355432679139,0.0606991313560225,0.115125645400006,0.176568148274388,0.0752324961633532,403,""
"drop_ex_ltm0_av90full","drop ex_quarter_ltm=0 & availability_90=90","zero_demand_calendar_fully_open",1059,"msetwo_no_fe",-0.0737243438595218,0.0530060307074272,0.164265733047122,-0.0963297979794883,0.0607355846616782,0.112727504946459,0.176895860176605,0.0745843738687563,407,""
"drop_ex_ltm0_av90pos","drop ex_quarter_ltm=0 & availability_90>0","zero_demand_calendar_open",1049,"msetwo_no_fe",-0.0737134608779648,0.05299564539511,0.164245350809411,-0.096386099179487,0.0606973488035632,0.112291147739754,0.176626155331749,0.0752048153072145,405,""
"drop_ex_quarter_ltm0","drop ex_quarter_ltm=0","zero_recent_demand",1047,"msetwo_no_fe",-0.0730465517146233,0.0529954691513573,0.168093815581727,-0.0956355432679139,0.0606991313560225,0.115125645400006,0.176568148274388,0.0752324961633532,403,""
"drop_ex_quarter_reviews0","drop ex_quarter_number_of_reviews=0","zero_recent_demand",1055,"msetwo_no_fe",-0.0737945777870877,0.0529772698194789,0.163635540154415,-0.0969665163207533,0.0606599203632672,0.109925756819499,0.177238730074889,0.0746415394228724,407,""
"drop_ex_reviews0_av365full","drop ex_quarter_number_of_reviews=0 & availability_365=365","zero_demand_calendar_fully_open",1059,"msetwo_no_fe",-0.0737243438595218,0.0530060307074272,0.164265733047122,-0.0963297979794883,0.0607355846616782,0.112727504946459,0.176895860176605,0.0745843738687563,407,""
"drop_ex_reviews0_av365pos","drop ex_quarter_number_of_reviews=0 & availability_365>0","zero_demand_calendar_open",1055,"msetwo_no_fe",-0.0737945777870877,0.0529772698194789,0.163635540154415,-0.0969665163207533,0.0606599203632672,0.109925756819499,0.177238730074889,0.0746415394228724,407,""
"drop_ex_reviews0_av90full","drop ex_quarter_number_of_reviews=0 & availability_90=90","zero_demand_calendar_fully_open",1059,"msetwo_no_fe",-0.0737243438595218,0.0530060307074272,0.164265733047122,-0.0963297979794883,0.0607355846616782,0.112727504946459,0.176895860176605,0.0745843738687563,407,""
"drop_ex_reviews0_av90pos","drop ex_quarter_number_of_reviews=0 & availability_90>0","zero_demand_calendar_open",1055,"msetwo_no_fe",-0.0737945777870877,0.0529772698194789,0.163635540154415,-0.0969665163207533,0.0606599203632672,0.109925756819499,0.177238730074889,0.0746415394228724,407,""
"drop_ltm0_av365full","drop number_of_reviews_ltm=0 & availability_365=365","zero_demand_calendar_fully_open",1053,"msetwo_no_fe",-0.0741085033944177,0.0533002653194313,0.164408502755013,-0.0968929105701606,0.0610861028993644,0.112700874647215,0.176658833179816,0.074578042896693,406,""
"drop_ltm0_av365pos","drop number_of_reviews_ltm=0 & availability_365>0","zero_demand_calendar_open",1027,"msetwo_no_fe",-0.0785337180467762,0.052896466896452,0.137631660567567,-0.101450323199244,0.0608374826878527,0.0954025473566534,0.180289455416851,0.0749081892501617,413,""
"drop_ltm0_av90full","drop number_of_reviews_ltm=0 & availability_90=90","zero_demand_calendar_fully_open",1051,"msetwo_no_fe",-0.0740988955142791,0.053305683401716,0.164506117253112,-0.0968350086977851,0.0610963371116147,0.11297632190013,0.176594115670028,0.0745875434208635,406,""
"drop_ltm0_av90pos","drop number_of_reviews_ltm=0 & availability_90>0","zero_demand_calendar_open",1031,"msetwo_no_fe",-0.078513407602302,0.0528778825194443,0.137595170094089,-0.101178411956566,0.0608410409289797,0.0963132221840764,0.180472057333734,0.0748431662362035,413,""
"drop_ltm0_stale180","drop number_of_reviews_ltm=0 & no/stale last_review>180","zero_demand_stale_review",1026,"msetwo_no_fe",-0.078535481101568,0.0529000293900709,0.137649327106533,-0.101418936435771,0.0608440962074366,0.095541114475578,0.180257985594142,0.0749101598921941,413,""
"drop_ltm0_stale365","drop number_of_reviews_ltm=0 & no/stale last_review>365","zero_demand_stale_review",1026,"msetwo_no_fe",-0.078535481101568,0.0529000293900709,0.137649327106533,-0.101418936435771,0.0608440962074366,0.095541114475578,0.180257985594142,0.0749101598921941,413,""
"drop_number_reviews_ltm0","drop number_of_reviews_ltm=0","zero_recent_demand",1026,"msetwo_no_fe",-0.078535481101568,0.0529000293900709,0.137649327106533,-0.101418936435771,0.0608440962074366,0.095541114475578,0.180257985594142,0.0749101598921941,413,""
"drop_reviews_per_month0_or_na","drop reviews_per_month=0 or NA","zero_recent_demand",1059,"msetwo_no_fe",-0.0737243438595218,0.0530060307074272,0.164265733047122,-0.0963297979794883,0.0607355846616782,0.112727504946459,0.176895860176605,0.0745843738687563,407,""
